departemen_id;judul;deskripsi;foto
1;PTN-BH;;ptnbh.jpg
2;PTN-BH;;ptnbh.jpg
3;PTN-BH;;ptnbh.jpg
4;PTN-BH;;ptnbh.jpg
5;PTN-BH;;ptnbh.jpg
7;PTN-BH;;ptnbh.jpg
7;BAN-PT;;banpt.jpg
7;AUN-QA;;aunqa.jpg
8;PTN-BH;;ptnbh.jpg
8;BAN-PT;Akreditasi A;banpt.jpg
8;AUN-QA;;aunqa.jpg
9;PTN-BH;;ptnbh.jpg
9;BAN-PT;Akreditasi A;banpt.jpg
9;AUN-QA;;aunqa.jpg
10;PTN-BH;;ptnbh.jpg
10;BAN-PT;Akreditasi A;banpt.jpg
10;AUN-QA;;aunqa.jpg
11;PTN-BH;;ptnbh.jpg
11;BAN-PT;Akreditasi A;banpt.jpg
12;PTN-BH;;ptnbh.jpg
12;BAN-PT;Akreditasi B;banpt.jpg
13;PTN-BH;;ptnbh.jpg
13;AUN-QA;;aunqa.jpg
14;PTN-BH;;ptnbh.jpg
15;PTN-BH;;ptnbh.jpg
16;PTN-BH;;ptnbh.jpg
16;AUN-QA;;aunqa.jpg
17;PTN-BH;;ptnbh.jpg
17;AUN-QA;;aunqa.jpg
18;PTN-BH;;ptnbh.jpg
19;PTN-BH;;ptnbh.jpg
19;AUN-QA;;aunqa.jpg
20;PTN-BH;;ptnbh.jpg
20;AUN-QA;;aunqa.jpg
20;IABEE;;iabee.jpg
20;Sertifikasi Internasional Student Chapter dari AiChE Student Chapter;;aiche.jpg
21;PTNBH;;ptnbh.jpg
21;IABEE;;iabee.jpg
21;AUN-QA;;aunqa.jpg
22;PTN-BH;;ptnbh.jpg
22;AUN-QA;;aunqa.jpg
22;ABET;;abet.jpg
23;PTN-BH;;ptnbh.jpg
23;AUN-QA;;aunqa.jpg
23;IABEE;;iabee.jpg
24;PTN-BH;;ptnbh.jpg
25;PTN-BH;;ptnbh.jpg
25;BAN-PT;Akreditasi A;banpt.jpg
25;IABEE;;iabee.jpg
26;PTN-BH;;ptnbh.jpg
26;AUN-QA;;aunqa.jpg
26;ZEvA skala Internasional;;zeva.jpg
27;PTN-BH;;ptnbh.jpg
27;BAN-PT;Akreditasi A;banpt.jpg
27;RINA;Skala Internasional;rina.jpg
27;IABEE;;iabee.jpg
28;PTN-BH;;ptnbh.jpg
28;IABEE;;iabee.jpg
29;PTN-BH;;ptnbh.jpg
30;PTN-BH;;ptnbh.jpg
30;BAN-PT;Akreditasi A;banpt.jpg
30;AUN-QA;;aunqa.jpg
31;PTN-BH;;ptnbh.jpg
31;BAN-PT;Akreditasi A;banpt.jpg
31;AUN-QA;;aunqa.jpg
32;PTN-BH;;ptnbh.jpg
32;BAN-PT;Akreditasi A;banpt.jpg
32;PTN-BH;;ptnbh.jpg
33;BAN-PT;Akreditasi A;banpt.jpg
33;AUN-QA;;aunqa.jpg
34;PTN-BH;;ptnbh.jpg
34;BAN-PT;Akreditasi A;banpt.jpg
35;PTN-BH;;ptnbh.jpg
35;BAN-PT;Akreditasi A;banpt.jpg
35;IABEE;;iabee.jpg
36;PTN-BH;;ptnbh.jpg
37;PTN-BH;;ptnbh.jpg
38;PTN-BH;;ptnbh.jpg
39;PTN-BH;;ptnbh.jpg
40;PTN-BH;;ptnbh.jpg
41;PTN-BH;;ptnbh.jpg
