id;departemen_id;judul;deskripsi;foto
1;1;HIMA IDE ITS;Instagram = @himaideits<br>youtube = Hima ide ITS;
2;2;HMDI;Instagram = interiordesignits <br> Twitter : @interior_ITS;
3;3;HIMARUPA DKV ITS;Instagram : visualdesignits, Tiktok: visualdesignits, Facebook: Hima Rupa, LinkedIn: Hima RUPA;
4;3;Rupafest;Instagram: @rupafest, Twitter: @RupaFest, Tiktok: rupafest, Facebook: @rupafest ;
5;3;Rupalapak;Instagram: @rupalapak;
6;3;Ruslam DKV ITS;Instagram: @ruslamdkv.its;
7;4;BMSA;Instagram : bmsa_its, Line : @txw4364l;
8;5;HIMADEV;Instagram : @himadev.its, Linkedin : Himpunan Mahasiswa Studi Pembangunan ITS, Twitter: @himadev_its;
9;7;HIMASIKA ITS;Instagram : @himasika_its, Youtube : Himasika ITS;
10;8;HIMATIKA ITS;Instagram: @himatika_its, Website: hima.mathematics.its.ac.id;
11;9;HIMASTA-ITS;Instagram: @himasta_its, Twitter: @HIMASTA_ITS, Youtube: HIMASTA-ITS, Website: arek.its.ac.id/hmstatistics ;
12;10;HIMKA ITS;Instagram: @himka_its;
13;11;HIMABITS;Instagram : @officialhimabits, Twitter : @HIMABITS, Youtube : Himabits Media 2, Website: hima.bio.its.ac.id;
14;12;HIMASAKTA;Instagram: @himasakta.its;
15;13;Himatektro;IG: HIMATEKTRO_ITS, OA LINE: @xyh6022r, Linkedin: HIMATEKTRO ITS, YT: Himatektro ITS;
16;14;HMTB;"Ig: @hmtb_its ; LinkedIn: HMTB ITS";
17;15;Himatekkom;"ig: @himatekkomits ; twitter: @himatekkomits ; tiktok: himatekkomits";
18;16;HMTC;FB: /HMTCFTEIC, IG: @hmtc_its, Twitter: @hmtc_its, Line@: @ycp2851v;
19;17;HMSI ITS;Web: https://arek.its.ac.id/hmsi , Ig: @hmsi_its, Line@: @hmsiits, Youtube: LayarHMSI, Spotify: HMSI Podcast;
20;18;HMIT ITS;"Instagram: @ hmit_its; line@: @333iwdmt; linkedin: Himpunan Mahasiswa Teknologi Informasi ITS; Youtube: Information Technology ITS";
21;19;Himpunan Mahasiswa Mesin ITS;Instagram: hmm_its, Website : hima.me.its.ac.id, Line: @448jxtob;
22;20;HIMATEKK;Instagram : himatekkits, Linkedin : Himpunan Mahasiswa Teknik Kimia ITS, Website : arek.its.ac.id/hhmtekkim;
23;21;HMTF;Instagram = hmtf_its, line@= @hmtf_its, Website = arek.its.ac.id/hmtf/;
24;22;HMTI;Instagram = hmti_its, Youtube = hmti tv its, Linkedin = himpunan mahasiswa teknik industri its;
25;23;Himpunan Mahasiswa Teknik Material dan Metalurgi ITS;Instagram = hmmt_its, Linkedin = Himpunan Mahasiswa Teknik Material dan Metalurgi, Youtube = silver channel, Website = arek.its.ac.id/hmmaterial;
26;25;HIMATEKPAL ITS;Instagram: @himatekpal, Youtube: HIMATEKPAL ITS, Website: hima.na.its.ac.id;
27;26;HIMASISKAL;Instagram = @himasiskalits, Youtube = SISKAL TV;
28;27;HIMATEKLA FTK ITS;Instagram: @himatekla.its, Website: hima.oe.its.ac.id;
29;28;HIMASEATRANS;Website = its.ac.id/seatrans, Youtube = seatrans its;
30;30;Himpunan Mahasiswa Sipil ITS;Website: hima.ce.its.ac.id, Instagram: @hmsits, Youtube: hmsits;
31;31;Himpunan Mahasiswa Sthapati Arsitektur ITS;Instagram: @himasthapati, Twitter : @HIMASTHAPATI, Website: hima.arch.its.ac.id;
32;32;HMTL ITS;Instagram: @hmtl_its, Website: enviro.its.ac.id;
33;33;HMPL;Website: hima.pwk.its.ac.id, Instagram: @urplanhmplits;
34;34;HIMAGE-ITS;Website: arek.its.ac.id/himage/home, Instagram:@himage_its;
35;35;HMTG ITS;Instagram:@hmtg_its;
36;36;HMDS;"Ig: @hmds_its ; LinkedIn: Himpunan Mahasiswa Diploma Sipil (HMDS) ITS ; website: http://hima.dtis.its.ac.id/ ; Youtube: HMDS ITS";
37;37;HMDM ITS;Ig: @hmdm_its;
38;37;Klub d3mount;Ig: @d3mount_;
39;37;BSO Bengkel D3MITS;Ig: @bengkeld3mits;
40;38;HIMAD3TEKTRO;"Ig: @detektro_its ; Line : @ALZ5081V";
41;39;HIMA DEKKIM ITS;Line: @himadekkim.its, Youtube: @himadekkim.its, Ig: @himadekkim.its;
42;40;HIMATEKINS;Ig: @himatekins_its, Line: @ocu3954b, Twitter: @himatekins_its, Youtube: Himatekins ITS;
43;41;HIMADATA ITS;LINE: @823fqrzx, FB | Youtube: HIMADATA-ITS, Twitter: himadata_its, Medium: himadata-its, Ig: @himadata_its;
