id;nama
1;KIP Kuliah
2;Beasiswa Peningkatan Prestasi Akademik
3;Beasiswa Jaring Prestasi Bibit Unggut ITS (IKA)
4;Beasiswa Adaro Foundation
5;Beasiswa Karya Salemba Empat
6;Djarum Beasiswa Plus
7;Beasiswa Bank Indonesia
8;Beasiswa VDMS
9;Paragon Scholarship
10;Beasiswa Jadi PNS
11;Beasiswa Ideas for Indonesia
12;Beasiswa Aktivis Salman
13;Beasiswa Mizan
14;Beasiswa Indonesia Leadership Foundation
15;Beasiswa XL Future Leaders
16;Beasiswa Ruang Kreasi Indonesia
17;Beasiswa DataPrint
18;Beasiswa Pinisi
19;Beasiswa YBM BRI
20;Beasiswa Desamind 2.0
21;Beasiswa Sang Surya Lazismu 2021
22;Beasiswa Next Top Scholar
23;FIA Scholarship Batch 1.0
24;Beasiswa Bakti BCA
25;Beasiswa Pembangunan Jaya
