id;Nama;Harga;Gambar;Link
1;Iso Turu Sangar Comic;90000;TSITS.png;https://www.intip.in/Merch1
2;Eskalasi Cita;90000;TSEC.png;https://www.intip.in/Merch2
3;Arek ITS;90000;TSAI.png;https://www.intip.in/Merch3
4;Kampoes Perjoeangan;140000;HDKP.png;https://www.intip.in/Merch4
5;Kesehatanmu Lho;140000;HDKL.png;https://www.intip.in/Merch5
6;Simple Reality;50000;SimpleReality.jpg;https://www.intip.in/Merch6
7;Welcome to ITS;50000;WelcomeToITS.jpg;https://www.intip.in/Merch7
8;1957 Black;40000;1957Black.png;https://www.intip.in/Merch8
9;1957 White;40000;1957Cream.png;https://www.intip.in/Merch9
10;ITS 1957;15000;GL1957.png;https://www.intip.in/Merch10
11;Vivat!;15000;GCVivat.png;https://www.intip.in/Merch11
12;Mental Breakdance;15000;GCMental.png;https://www.intip.in/Merch12
13;Spotify;15000;GCSpotify.png;https://www.intip.in/Merch13
14;Sticker Pack 6 in 1;15000;SP.png;https://www.intip.in/Merch14
15;Jupiter Pack;339000;JUP.png;https://www.intip.in/Merch15
16;Neptune Pack;244000;NEP.png;https://www.intip.in/Merch16
17;Earth Pack;189000;ERT.png;https://www.intip.in/Merch17
18;Mars Pack;149000;MARS.png;https://www.intip.in/Merch18
19;Mercury Pack;94000;MER.png;https://www.intip.in/Merch19
20;Pluto Pack;94000;PLT.png;https://www.intip.in/Merch20
